time,lon,lat,PMSL
01/07/1979 (00:00),-124.427,40.5786,101503
01/07/1979 (00:00),-124.058,40.6445,101496
01/07/1979 (00:00),-123.687,40.7089,101496
01/07/1979 (00:00),-123.316,40.772,101491
01/07/1979 (00:00),-122.944,40.8338,101518
01/07/1979 (00:00),-122.571,40.8941,101594
01/07/1979 (00:00),-122.197,40.953,101633
01/07/1979 (00:00),-121.822,41.0105,101686
01/07/1979 (00:00),-121.447,41.0666,101743
01/07/1979 (00:00),-121.071,41.1213,101765
01/07/1979 (00:00),-120.694,41.1746,101777
01/07/1979 (00:00),-120.317,41.2264,101779
01/07/1979 (00:00),-119.939,41.2768,101864
01/07/1979 (00:00),-119.56,41.3258,101971
01/07/1979 (00:00),-119.181,41.3734,102051
01/07/1979 (00:00),-118.8,41.4195,102175
01/07/1979 (00:00),-118.42,41.4641,102324
01/07/1979 (00:00),-118.038,41.5073,102324
01/07/1979 (00:00),-117.657,41.5491,102241
01/07/1979 (00:00),-117.274,41.5894,102192
01/07/1979 (00:00),-116.891,41.6282,102212
01/07/1979 (00:00),-116.508,41.6656,102221
01/07/1979 (00:00),-116.124,41.7015,102125
01/07/1979 (00:00),-115.739,41.7359,102097
01/07/1979 (00:00),-115.354,41.7689,102112
01/07/1979 (00:00),-114.969,41.8004,102179
01/07/1979 (00:00),-114.583,41.8304,102234
01/07/1979 (00:00),-114.197,41.8589,102345
01/07/1979 (00:00),-113.81,41.8859,102408
01/07/1979 (00:00),-113.423,41.9115,102406
01/07/1979 (00:00),-113.036,41.9356,102570
01/07/1979 (00:00),-112.648,41.9581,102667
01/07/1979 (00:00),-127.454,40.28,101222
01/07/1979 (00:00),-127.09,40.3571,101254
01/07/1979 (00:00),-126.725,40.4329,101294
01/07/1979 (00:00),-126.359,40.5073,101336
01/07/1979 (00:00),-125.992,40.5804,101379
01/07/1979 (00:00),-125.624,40.6521,101423
01/07/1979 (00:00),-125.256,40.7225,101462
01/07/1979 (00:00),-124.886,40.7915,101492
01/07/1979 (00:00),-124.515,40.8591,101516
01/07/1979 (00:00),-124.144,40.9253,101526
01/07/1979 (00:00),-123.772,40.9902,101515
01/07/1979 (00:00),-123.399,41.0537,101479
01/07/1979 (00:00),-123.025,41.1157,101458
01/07/1979 (00:00),-122.65,41.1764,101531
01/07/1979 (00:00),-122.274,41.2356,101591
01/07/1979 (00:00),-121.898,41.2935,101637
01/07/1979 (00:00),-121.521,41.3499,101706
01/07/1979 (00:00),-121.143,41.4049,101740
01/07/1979 (00:00),-120.765,41.4585,101780
01/07/1979 (00:00),-120.385,41.5106,101814
01/07/1979 (00:00),-120.005,41.5613,101825
01/07/1979 (00:00),-119.625,41.6106,101872
01/07/1979 (00:00),-119.243,41.6584,101944
01/07/1979 (00:00),-118.861,41.7048,102046
01/07/1979 (00:00),-118.479,41.7497,102203
01/07/1979 (00:00),-118.095,41.7932,102283
01/07/1979 (00:00),-117.712,41.8352,102221
01/07/1979 (00:00),-117.327,41.8757,102168
01/07/1979 (00:00),-116.942,41.9148,102228
01/07/1979 (00:00),-116.557,41.9524,102254
01/07/1979 (00:00),-116.171,41.9885,102208
01/07/1979 (00:00),-115.785,42.0231,102273
01/07/1979 (00:00),-115.398,42.0563,102362
01/07/1979 (00:00),-115.01,42.0879,102434
01/07/1979 (00:00),-114.622,42.1181,102506
01/07/1979 (00:00),-114.234,42.1468,102499
01/07/1979 (00:00),-113.846,42.174,102572
01/07/1979 (00:00),-113.457,42.1997,102617
01/07/1979 (00:00),-113.067,42.2239,102620
01/07/1979 (00:00),-112.678,42.2466,102659
01/07/1979 (00:00),-127.556,40.5573,101221
01/07/1979 (00:00),-127.191,40.6349,101257
01/07/1979 (00:00),-126.824,40.7111,101295
01/07/1979 (00:00),-126.456,40.7859,101338
01/07/1979 (00:00),-126.088,40.8594,101380
01/07/1979 (00:00),-125.718,40.9316,101422
01/07/1979 (00:00),-125.348,41.0023,101462
01/07/1979 (00:00),-124.977,41.0717,101497
01/07/1979 (00:00),-124.604,41.1397,101523
01/07/1979 (00:00),-124.231,41.2063,101538
01/07/1979 (00:00),-123.857,41.2716,101542
01/07/1979 (00:00),-123.482,41.3354,101510
01/07/1979 (00:00),-123.107,41.3978,101482
01/07/1979 (00:00),-122.73,41.4588,101508
01/07/1979 (00:00),-122.353,41.5184,101527
01/07/1979 (00:00),-121.975,41.5766,101534
01/07/1979 (00:00),-121.596,41.6334,101642
01/07/1979 (00:00),-121.216,41.6887,101705
01/07/1979 (00:00),-120.835,41.7426,101755
01/07/1979 (00:00),-120.454,41.795,101801
01/07/1979 (00:00),-120.072,41.846,101800
01/07/1979 (00:00),-119.69,41.8956,101838
01/07/1979 (00:00),-119.307,41.9437,101919
01/07/1979 (00:00),-118.923,41.9903,102074
01/07/1979 (00:00),-118.538,42.0355,102192
01/07/1979 (00:00),-118.153,42.0792,102265
01/07/1979 (00:00),-117.767,42.1214,102292
01/07/1979 (00:00),-117.381,42.1622,102287
01/07/1979 (00:00),-116.994,42.2015,102273
01/07/1979 (00:00),-116.607,42.2393,102283
01/07/1979 (00:00),-116.219,42.2756,102356
01/07/1979 (00:00),-115.83,42.3105,102508
01/07/1979 (00:00),-115.441,42.3438,102693
01/07/1979 (00:00),-115.052,42.3757,102766
01/07/1979 (00:00),-114.662,42.406,102824
01/07/1979 (00:00),-114.272,42.4349,102858
01/07/1979 (00:00),-113.881,42.4622,102858
01/07/1979 (00:00),-113.49,42.4881,102865
01/07/1979 (00:00),-113.099,42.5124,102849
01/07/1979 (00:00),-112.707,42.5352,102756
01/07/1979 (00:00),-127.66,40.8348,101222
01/07/1979 (00:00),-127.292,40.9128,101259
01/07/1979 (00:00),-126.924,40.9894,101298
01/07/1979 (00:00),-126.555,41.0647,101340
01/07/1979 (00:00),-126.185,41.1386,101382
01/07/1979 (00:00),-125.813,41.2111,101424
01/07/1979 (00:00),-125.441,41.2823,101464
01/07/1979 (00:00),-125.068,41.3521,101498
01/07/1979 (00:00),-124.694,41.4205,101526
01/07/1979 (00:00),-124.319,41.4875,101549
01/07/1979 (00:00),-123.943,41.5531,101542
01/07/1979 (00:00),-123.567,41.6172,101533
01/07/1979 (00:00),-123.189,41.68,101516
01/07/1979 (00:00),-122.811,41.7414,101509
01/07/1979 (00:00),-122.432,41.8013,101524
01/07/1979 (00:00),-122.052,41.8598,101566
01/07/1979 (00:00),-121.671,41.9169,101611
01/07/1979 (00:00),-121.289,41.9726,101673
01/07/1979 (00:00),-120.907,42.0268,101727
