time,lon,lat,CAPE
01/07/1979 (00:00),-127.231,41.8249,0
01/07/1979 (00:00),-126.856,41.9014,0
01/07/1979 (00:00),-126.481,41.9766,0
01/07/1979 (00:00),-126.104,42.0504,0
01/07/1979 (00:00),-125.727,42.1228,0
01/07/1979 (00:00),-125.348,42.1938,0
01/07/1979 (00:00),-124.969,42.2633,0
01/07/1979 (00:00),-124.589,42.3315,0
01/07/1979 (00:00),-124.208,42.3982,0
01/07/1979 (00:00),-123.825,42.4635,0
01/07/1979 (00:00),-123.442,42.5274,0
01/07/1979 (00:00),-123.059,42.5898,0
01/07/1979 (00:00),-122.674,42.6508,0
01/07/1979 (00:00),-122.288,42.7103,0
01/07/1979 (00:00),-121.902,42.7684,0
01/07/1979 (00:00),-121.514,42.825,0
01/07/1979 (00:00),-121.126,42.8801,0
01/07/1979 (00:00),-120.738,42.9338,0
01/07/1979 (00:00),-120.348,42.986,0
01/07/1979 (00:00),-119.958,43.0367,0
01/07/1979 (00:00),-119.567,43.0859,0
01/07/1979 (00:00),-119.175,43.1337,0
01/07/1979 (00:00),-118.783,43.1799,0
01/07/1979 (00:00),-118.39,43.2246,0
01/07/1979 (00:00),-117.996,43.2679,0
01/07/1979 (00:00),-117.602,43.3096,0
01/07/1979 (00:00),-117.207,43.3498,0
01/07/1979 (00:00),-116.811,43.3885,0
01/07/1979 (00:00),-116.415,43.4257,0
01/07/1979 (00:00),-116.019,43.4614,0
01/07/1979 (00:00),-115.622,43.4955,0
01/07/1979 (00:00),-115.224,43.5281,0
01/07/1979 (00:00),-114.826,43.5592,0
01/07/1979 (00:00),-114.428,43.5887,0
01/07/1979 (00:00),-114.029,43.6167,0
01/07/1979 (00:00),-113.63,43.6432,0
01/07/1979 (00:00),-113.23,43.6681,0
01/07/1979 (00:00),-112.83,43.6915,0
01/07/1979 (00:00),-128.084,41.9454,0
01/07/1979 (00:00),-127.71,42.0251,0
01/07/1979 (00:00),-127.335,42.1035,0
01/07/1979 (00:00),-126.959,42.1805,0
01/07/1979 (00:00),-126.581,42.2561,0
01/07/1979 (00:00),-126.203,42.3303,0
01/07/1979 (00:00),-125.824,42.4031,0
01/07/1979 (00:00),-125.444,42.4745,0
01/07/1979 (00:00),-125.063,42.5445,0
01/07/1979 (00:00),-124.681,42.613,0
01/07/1979 (00:00),-124.297,42.6801,0
01/07/1979 (00:00),-123.913,42.7458,0
01/07/1979 (00:00),-123.529,42.81,0
01/07/1979 (00:00),-123.143,42.8728,0
01/07/1979 (00:00),-122.756,42.9341,0
01/07/1979 (00:00),-122.369,42.994,0
01/07/1979 (00:00),-121.98,43.0524,0
01/07/1979 (00:00),-121.591,43.1094,0
01/07/1979 (00:00),-121.201,43.1648,0
01/07/1979 (00:00),-120.81,43.2188,0
01/07/1979 (00:00),-120.419,43.2713,0
01/07/1979 (00:00),-120.026,43.3223,0
01/07/1979 (00:00),-119.633,43.3718,0
01/07/1979 (00:00),-119.24,43.4198,0
01/07/1979 (00:00),-118.845,43.4663,0
01/07/1979 (00:00),-118.45,43.5113,0
01/07/1979 (00:00),-118.055,43.5548,0
01/07/1979 (00:00),-117.658,43.5968,0
01/07/1979 (00:00),-117.261,43.6372,0
01/07/1979 (00:00),-116.864,43.6762,0
01/07/1979 (00:00),-116.466,43.7136,0
01/07/1979 (00:00),-116.067,43.7494,0
01/07/1979 (00:00),-115.668,43.7838,0
01/07/1979 (00:00),-115.268,43.8166,0
01/07/1979 (00:00),-114.868,43.8478,0
01/07/1979 (00:00),-114.468,43.8775,0
01/07/1979 (00:00),-114.067,43.9057,0
01/07/1979 (00:00),-113.665,43.9323,0
01/07/1979 (00:00),-113.263,43.9574,0
01/07/1979 (00:00),-112.861,43.9809,0
01/07/1979 (00:00),-128.193,42.2232,0
01/07/1979 (00:00),-127.817,42.3034,0
01/07/1979 (00:00),-127.44,42.3822,0
01/07/1979 (00:00),-127.062,42.4597,0
01/07/1979 (00:00),-126.683,42.5357,0
01/07/1979 (00:00),-126.303,42.6103,0
01/07/1979 (00:00),-125.922,42.6835,0
01/07/1979 (00:00),-125.54,42.7553,0
01/07/1979 (00:00),-125.157,42.8257,0
01/07/1979 (00:00),-124.773,42.8946,0
01/07/1979 (00:00),-124.388,42.9621,0
01/07/1979 (00:00),-124.002,43.0282,0
01/07/1979 (00:00),-123.616,43.0928,0
01/07/1979 (00:00),-123.228,43.1559,0
01/07/1979 (00:00),-122.839,43.2176,0
01/07/1979 (00:00),-122.45,43.2778,0
01/07/1979 (00:00),-122.06,43.3366,0
01/07/1979 (00:00),-121.668,43.3938,0
01/07/1979 (00:00),-121.276,43.4496,0
01/07/1979 (00:00),-120.884,43.5039,0
01/07/1979 (00:00),-120.49,43.5567,0
01/07/1979 (00:00),-120.096,43.608,0
01/07/1979 (00:00),-119.701,43.6578,0
01/07/1979 (00:00),-119.305,43.7061,0
01/07/1979 (00:00),-118.909,43.7529,0
01/07/1979 (00:00),-118.512,43.7981,0
01/07/1979 (00:00),-118.114,43.8419,0
01/07/1979 (00:00),-117.715,43.8841,0
01/07/1979 (00:00),-117.316,43.9248,0
01/07/1979 (00:00),-116.917,43.964,0
01/07/1979 (00:00),-116.517,44.0016,0
01/07/1979 (00:00),-116.116,44.0377,0
01/07/1979 (00:00),-115.715,44.0722,0
01/07/1979 (00:00),-115.313,44.1052,0
01/07/1979 (00:00),-114.911,44.1366,0
01/07/1979 (00:00),-114.508,44.1665,0
01/07/1979 (00:00),-114.105,44.1948,0
01/07/1979 (00:00),-113.701,44.2216,0
01/07/1979 (00:00),-113.297,44.2468,0
01/07/1979 (00:00),-112.893,44.2705,0
01/07/1979 (00:00),-128.302,42.5011,0
01/07/1979 (00:00),-127.925,42.5817,0
01/07/1979 (00:00),-127.546,42.661,0
01/07/1979 (00:00),-127.167,42.7389,0
01/07/1979 (00:00),-126.786,42.8153,0
01/07/1979 (00:00),-126.404,42.8904,0
01/07/1979 (00:00),-126.021,42.964,0
01/07/1979 (00:00),-125.637,43.0362,0
01/07/1979 (00:00),-125.253,43.107,0
01/07/1979 (00:00),-124.867,43.1763,0
01/07/1979 (00:00),-124.48,43.2442,0
01/07/1979 (00:00),-124.092,43.3106,0
01/07/1979 (00:00),-123.704,43.3756,0
01/07/1979 (00:00),-123.314,43.4391,0
01/07/1979 (00:00),-122.923,43.5011,0
01/07/1979 (00:00),-122.532,43.5617,0
01/07/1979 (00:00),-122.14,43.6208,0
01/07/1979 (00:00),-121.747,43.6784,0
01/07/1979 (00:00),-121.353,43.7345,0
01/07/1979 (00:00),-120.958,43.7891,0
01/07/1979 (00:00),-120.562,43.8422,0
01/07/1979 (00:00),-120.166,43.8938,0
01/07/1979 (00:00),-119.769,43.9439,0
01/07/1979 (00:00),-119.371,43.9925,0
01/07/1979 (00:00),-118.973,44.0395,0
01/07/1979 (00:00),-118.574,44.0851,0
01/07/1979 (00:00),-118.174,44.1291,0
01/07/1979 (00:00),-117.773,44.1715,0
01/07/1979 (00:00),-117.372,44.2125,0
01/07/1979 (00:00),-116.97,44.2518,0
01/07/1979 (00:00),-116.568,44.2897,0
01/07/1979 (00:00),-116.165,44.326,0
01/07/1979 (00:00),-115.762,44.3607,0
01/07/1979 (00:00),-115.358,44.3939,0
01/07/1979 (00:00),-114.954,44.4255,0
01/07/1979 (00:00),-114.549,44.4556,0
01/07/1979 (00:00),-114.143,44.4841,0
01/07/1979 (00:00),-113.738,44.511,0
01/07/1979 (00:00),-113.332,44.5364,0
01/07/1979 (00:00),-112.925,44.5602,0
01/07/1979 (00:00),-128.413,42.779,0
01/07/1979 (00:00),-128.034,42.8601,0
01/07/1979 (00:00),-127.654,42.9398,0
01/07/1979 (00:00),-127.272,43.0181,0
01/07/1979 (00:00),-126.89,43.095,0
01/07/1979 (00:00),-126.506,43.1705,0
