time,lon,lat,H500
01/01/1979 (00:00),-119.56,41.3258,5547.21
01/01/1979 (00:00),-119.181,41.3734,5535.21
01/01/1979 (00:00),-118.8,41.4195,5522.21
01/01/1979 (00:00),-118.42,41.4641,5508.21
01/01/1979 (00:00),-118.038,41.5073,5494.71
01/01/1979 (00:00),-117.657,41.5491,5481.71
01/01/1979 (00:00),-117.274,41.5894,5468.21
01/01/1979 (00:00),-116.891,41.6282,5454.21
01/01/1979 (00:00),-116.508,41.6656,5441.21
01/01/1979 (00:00),-116.124,41.7015,5430.71
01/01/1979 (00:00),-115.739,41.7359,5420.71
01/01/1979 (00:00),-115.354,41.7689,5411.71
01/01/1979 (00:00),-114.969,41.8004,5402.71
01/01/1979 (00:00),-114.583,41.8304,5394.21
01/01/1979 (00:00),-114.197,41.8589,5386.21
01/01/1979 (00:00),-113.81,41.8859,5379.21
01/01/1979 (00:00),-113.423,41.9115,5373.71
01/01/1979 (00:00),-113.036,41.9356,5366.21
01/01/1979 (00:00),-112.648,41.9581,5359.71
01/01/1979 (00:00),-127.454,40.28,5691.71
01/01/1979 (00:00),-127.09,40.3571,5689.21
01/01/1979 (00:00),-126.725,40.4329,5685.71
01/01/1979 (00:00),-126.359,40.5073,5682.21
01/01/1979 (00:00),-125.992,40.5804,5677.71
01/01/1979 (00:00),-125.624,40.6521,5673.21
01/01/1979 (00:00),-125.256,40.7225,5668.71
01/01/1979 (00:00),-124.886,40.7915,5663.71
01/01/1979 (00:00),-124.515,40.8591,5658.21
01/01/1979 (00:00),-124.144,40.9253,5652.71
01/01/1979 (00:00),-123.772,40.9902,5646.71
01/01/1979 (00:00),-123.399,41.0537,5641.21
01/01/1979 (00:00),-123.025,41.1157,5634.21
01/01/1979 (00:00),-122.65,41.1764,5626.21
01/01/1979 (00:00),-122.274,41.2356,5617.21
01/01/1979 (00:00),-121.898,41.2935,5608.21
01/01/1979 (00:00),-121.521,41.3499,5598.21
01/01/1979 (00:00),-121.143,41.4049,5588.21
01/01/1979 (00:00),-120.765,41.4585,5577.21
01/01/1979 (00:00),-120.385,41.5106,5566.21
01/01/1979 (00:00),-120.005,41.5613,5555.21
01/01/1979 (00:00),-119.625,41.6106,5542.71
01/01/1979 (00:00),-119.243,41.6584,5530.21
01/01/1979 (00:00),-118.861,41.7048,5517.21
01/01/1979 (00:00),-118.479,41.7497,5502.71
01/01/1979 (00:00),-118.095,41.7932,5488.21
01/01/1979 (00:00),-117.712,41.8352,5474.71
01/01/1979 (00:00),-117.327,41.8757,5461.21
01/01/1979 (00:00),-116.942,41.9148,5447.21
01/01/1979 (00:00),-116.557,41.9524,5433.71
01/01/1979 (00:00),-116.171,41.9885,5423.21
01/01/1979 (00:00),-115.785,42.0231,5412.71
01/01/1979 (00:00),-115.398,42.0563,5402.71
01/01/1979 (00:00),-115.01,42.0879,5394.21
01/01/1979 (00:00),-114.622,42.1181,5386.21
01/01/1979 (00:00),-114.234,42.1468,5379.71
01/01/1979 (00:00),-113.846,42.174,5372.71
01/01/1979 (00:00),-113.457,42.1997,5366.21
